 Category ,Course Code,Title of the Course,Description,Language,Link 1,Link 2 (if SP)
Leadership/Leadership Role Model,LRM10,A Healthy Manager is a Good Manager,"How often do you think about the way you eat, or whether you’re getting enough exercise? When you’re in charge you don’t have much time. So, no matter how much you might try, you’ll grab an unhealthy snack because it’s convenient or skip the gym because you’re too tired. Everyone knows that good managers are busy people, so often there isn’t enough time in the day to think of yourself.As a manager, if you’re unhealthy, you won’t be at your best, which will affect your performance. Key skills, like decision-making, will suffer as your energy levels drop. Remember, your health doesn’t just affect you, it affects the people around you, too: If you manage or lead, then it’s important that you take care of your health. This course will help you do that. You’ll see how to spot health risks, understand the benefits of being a healthy manager, and get tips on how to stay healthy in your job.",EN,https://horenso.talentlms.com/plus/catalog/courses/433,
Business Skills / Strategy Development,SDV04,A Walkthrough of Business Operating Models,"The traditional workspace you used to know, with its fixed hours and single office location, is gradually becoming a relic. Happy and motivated employees now enjoy an era of flexible work models. Businesses benefit, too, seeing surges in efficiency, adaptability, and overall morale.

But here's the catch: to navigate this new landscape, you need a good understanding of the business models available. You can’t use a one-size-fits-all approach. Selecting the right model relies on matching up your company's unique goals and needs correctly. And you also need to work out if your chosen model truly delivers on its promise.

By the end of this course, you’ll be able to:

• Describe the types of business operating models, such as hybrid, remote, and matrix
• Match the types of business operating model to the business needs and goals
• Measure the effectiveness of the chosen business operating model

Why take this course?

This course is perfect for team leaders, managers, and business leaders. It’ll help you understand the changing workspace and improve your strategies where needed. You’ll gain an understanding of various operating models, enabling you to confidently select the most suitable one. And you’ll have the tools to measure a model’s effectiveness.
",EN,https://horenso.talentlms.com/plus/catalog/courses/1210,
Compliance and Safety / Financial Compliance,FC004,Accounting Ethics,"Accounting scandals have rocked the world in recent years. Banks and corporations have collapsed, hurting investors, employees, and the general public. For those working in finance, there’s never been a more important time to consider accounting ethics.

The complexity of accountancy means work must be trustworthy and carried out with professional integrity. Living by accounting ethical standards can help you demonstrate sound judgment, trustworthiness, and a willingness to do the right thing. This course will show you how.

By the end of this course, you’ll be able to:

• Recognize how ethical accounting standards contribute to fairer financial activity
• Identify the challenges to auditor independence
• Demonstrate an understanding of the 5 fundamental principles of ethical behavior

Why take this course?

If you’re an accountant or auditor, or work in finance, you need an awareness of accounting ethics. In this course you’ll learn about the importance of ethical accounting. You’ll gain an understanding of the challenges auditors face, and learn to implement the 5 principles of ethical behavior.
",EN,https://horenso.talentlms.com/plus/catalog/courses/776,
... / Customer Service / Customer Service Applied,CSA04,Achieving Clarity,"Information is difficult to understand when it’s not presented clearly. But it’s so much easier to understand when it is. When you present information, do it with clarity. If you don’t, you just won’t get the right message across.

Achieving clarity in customer service is essential for so many reasons. It’s important to give and receive customer information in a way that can be understood. If you don’t, customers could become confused. Just imagine what confusion would add to an already difficult situation. You’d be pouring oil on the fire.

By the end of this course, you’ll be able to:

• Understand how to listen to customers
• Organize information so that it’s easily understood
• Use clear language in conversations
• Employ techniques to present information clearly

Why take this course?

If you work with customers in any capacity, then it’s clear that this course is for you. Clarity is an essential ingredient in any good customer service. This course will help you understand how to organize, communicate, and present information to customers clearly, and how to listen to them properly. So, when you do deal with them, you’ll understand each other perfectly.

",EN,https://horenso.talentlms.com/plus/catalog/courses/760,https://horenso.talentlms.com/plus/catalog/courses/658
Compliance and Safety / Compliance Essentials,CME07,Active Shooter,"No one wants to think about a tragedy happening in their workplace. The possibility is distinctly uncomfortable, so talking about what you might do is difficult. The unfortunate truth is that these tragedies do happen, and being unprepared because you don’t want to think about them is the worst approach to take.

If the unthinkable does happen, and your organization finds itself involved in an active-shooter incident, having a plan in place is a key element in reducing risk and harm. There are a few simple strategies you can implement that will help you be prepared.

By the end of this course, you’ll be able to:

• Identify an active-shooter incident
• Outline the key steps of an active-shooter response strategy
• Prepare a planned response to a potential incident
• Prevent active shooter incidents

Why take this course?

Anyone managing an organization that is at risk of an active-shooter incident will benefit from knowing the risks involved and how to implement a mitigating strategy. This course will show you how.

",EN,https://horenso.talentlms.com/plus/catalog/courses/298,
... / Project Management / Project Management Applied,PMA03,Activity and Resource Planning,"The poet Robert Burns once wrote that even the best plans often go wrong. While this poem might be part of history now, the message from this isn’t. Plans, however well made, have the potential to fall apart if they’re not properly managed.

In project management, making sure things run as smoothly as possible is essential for ensuring that goals are achieved. This requires careful consideration and the ability to “keep all the plates spinning.” Activity and resource planning forms a large part of that process.

By the end of this course, you’ll be able to:

• Identify the role of activity and resource planning within project management
• Define the importance of effective activity and resource planning
• Use techniques to create effective activity and resource plans

Why take this course?

Whether you’re undertaking small or large-scale projects, creating accurate activity and resource plans helps you identify and mitigate problems to keep the process running smoothly. For new project managers and those wishing to refresh, this course can help you do that effectively. It will examine exactly what resource and activity planning involves and why it’s a crucial part of successful project management. It will also guide you through tried and tested methods and practices to help you successfully plan this crucial stage of your projects.
",EN,https://horenso.talentlms.com/plus/catalog/courses/603,
Human Resources / HR Essentials,HRE02,https://horenso.talentlms.com/plus/catalog/courses/701,"The word innovation probably brings to mind great technological breakthroughs, like the iPhone, electric cars, or the internet. However, innovation isn’t just about tech. It’s a vital part of all business and keeping up or adapting to innovation is crucial for success.

Some companies adopt an “if it’s not broken, don’t fix it!” policy, causing them to stagnate. But just because a process or system worked in the past, doesn’t mean it’s still the best way of doing things.

Successful businesses constantly tweak systems and actively encourage innovation within their workforce, to apply better solutions that meet new requirements or existing needs. HR are vital to this as they’re largely responsible for creating an organization’s culture, so can become architects of innovative thinking.

By the end of this course, you’ll be able to:

• Identify the 6 Competencies of Modern Human Resources
• Understand why adapting to innovation is crucial
• Build on innovation within your organization

Why take this course?

If you work in HR, you’ll play a big part in adopting a culture of active innovation and advancement. You’ll need to lead by example, so being creative and thinking outside the box is crucial to your role. This course will help you develop your innovation skills and show you how to create a culture that embraces change, instead of fearing it.

",EN,https://horenso.talentlms.com/plus/catalog/courses/325,
... / Retail / Retail Applied,RA001,Adopting a 'Customer First' Mindset,"Do you always remember to put the customer first? You want to do a great job, but there’s a lot to remember in retail. And you’ll probably face unexpected situations with customers you haven’t been trained for. But if you have a “customer first” mindset, this can guide your actions and help you be an effective retail employee.

A customer-first mindset is more than just having a friendly and positive attitude. It’s a way of thinking that places the customer at the heart of everything you do. This brings many advantages to the business and will help you excel in your role. In this course, you’ll learn strategies for demonstrating a customer-first mindset in your workplace.

By the end of this course, you’ll be able to:

• Explain what a customer-first mindset is so you know what’s expected of you as an effective retail employee
• Recognize the benefits of having a customer-first mindset for retail success
• Apply strategies to adopt a customer-first mindset so you can offer a great retail service

Why take this course?

Retail success depends heavily on having a customer-centric focus. This course is ideal for retail assistants or executives who regularly deal with customers. You’ll learn what a customer-first mindset means, the advantages of having this mindset in retail, and strategies for adopting this mindset in your retail role.
",EN,https://horenso.talentlms.com/plus/catalog/courses/1276,
Human Resources / Learning Applied,LNA08,Adopting the Right Strategy for Learning Design,"When designing learning interventions, there are many things to consider. Sometimes, it can feel overwhelming trying to account for all of them at once. But there are some aspects that, when gotten right, can make the rest a little easier to work with, as they’ll underpin your overall designs. It’s just a case of knowing what they are, and how to use them.

The strategy you employ is important to ensuring your learning solutions are as effective as possible. From knowing basic best practices, to principles of adult learning, to how to choose the most appropriate delivery method – all these things will form the basis of all your current and future interventions. This course will take you through all of these, to help you adopt the right strategy.

By the end of this course, you’ll be able to:

• Recognize basic best practices in learning design
• Identify the main principles in adult learning
• List the key considerations to make when choosing a delivery method

Why take this course?

Adopting the right strategy to learning design is vital for creating effective learning interventions. This course provides you with an overview of the basic best practices in instructional design, the main principles in adult learning, and the key considerations you need to make when choosing a delivery method. This course is useful for anyone in HR, L&D, or people management, who are responsible for designing learning solutions.",EN,https://horenso.talentlms.com/plus/catalog/courses/1119,
... / Project Management / Project Management Mastery,PMM01,Agile in Practice,"Being agile means being quick, nimble, and flexible. It follows that the Agile project management methodology is geared for adaptability as well as efficiency. This system of working arose in the software industry in the early 2000s. When traditional linear workflows were restricting development, a new set of values and principles was proposed.

Agile offers an iterative approach that not only allows room for experimentation, but encourages it as a fundamental part of the collaborative process. Agile is more about flexibility and speed than rigorous planning and protocol. Teams are generally self-organized and work in short, focused bursts to deliver project goals. This course will show you how the Agile methodology can help your projects succeed.

By the end of this course, you’ll be able to:

•Describe the core values of the Agile methodology
•Explain the pros and cons of the Agile methodology
•Outline a workflow based on Agile principles

Why take this course?

Every organization, team member, and project is different. Project managers must be equipped with the right tools to adapt to any given environment. The Agile methodology offers the benefits of freedom and adaptability. It’s ideally suited to environments like software development and IT, but has expanded into many industries in which teams need to collaborate closely, especially when projects need continued input from stakeholders throughout the process.
",EN,https://horenso.talentlms.com/plus/catalog/courses/616,
